Código,Descripción
14111519,Papeles de acetato (transparencia)
14111525,Papel madera
14111526,Blocs para notas
14111529,Rollos para telex
14111530,Notas de papel autoadhesivo
14111531,Libros de escritura o registros
14111537,Papel de etiquetas
14111601,Papel
14111606,Papel artistico 
14111609,Papel para forrar
14111610,Cartulina
14111611,Tarjetas de invitacion o anuncio
14111701,Papel facial
14111703,Toallas de papel
14111704,Papel higienico
14111705,Servilletas y panuelos de papel
14111801,Tickets o rollos de tickets
14111802,Recibos o libros de recibos
14111804,Facturas o libros de facturas
14111806,Formularios o cuestionarios varios
14111808,Formularios de contabilidad o libros de contabilidad
14121501,Carton blanqueado
14121504,Papel para embalaje
14121802,Papeles de polietileno
14121810,Papeles carbon
14121811,Papeles de copia sensibilizados
14121812,Papel fotografico
14122201,Papeles para germinar semillas
15101502,Queroseno
15101503,Nafta
15101504,Combustible de aviacion
15101505,Gasoil-Diesel
15101506,Gasolina
15101507,Benceno
15101508,Petroleo crudo
15101509,Biocombustible
15101601,Carbon
15101606,Alcoholes carburantes gelificados
15111506,Acetileno
15111508,Gas de gasogeno
15111510,Gas licuado de Petroleo
15121501,Aceite de motor
15121503,Aceite de engranajes
15121504,Aceite hidraulico
15121505,Aceite para transformadores
15121508,Aceite para transmisiones
15121509,Aceite y fluidos
15121511,Pasta para montaje
15121515,Componentes antiagarrotamiento o antimanchas
15121518,Liquidos de amortiguacion
15121520,Lubricantes varios
15121521,Aceites lubricantes para bombas
15121527,Aceite de turbina
15121801,Hidrofugos
15121802,Lubricantes Anticorrosivos Desincrustantes
15121804,Preparados antioxidantes
15121806,Aceites desoxidantes
15121901,Grasa de silicon
15121902,Grasa
20101709,Molino de cemento y accesorios
20101712,Amoladores de tierra
20102101,Perforadoras rotativas neumaticas y accesorios
20102102,Perforadoras rotativas hidraulicas y accesorios
20111504,Equipo de perforacion de pozos de agua
20111614,Brocas para perforadoras industriales
20121302,Flotadores
20121404,Tapon macho de terminacion
20121409,Juntas de dilatacion de la terminacion
20121418,Herramientas para arranque tapador
20121427,Valvulas de seguridad subsuperficie
20122801,Agitadores de lodo
20131006,Fluidos centradores
20141601,Bombas neumaticas de exportacion
20142801,Separadores de agua petroleo
20143001,Vastagos de succion de aleacion de acero
21101501,Arados
21101502,Pulverizadores
21101504,Escardillas
21101506,Maquinas explanadoras o niveladoras y accesorios
21101510,Canerias o tuberias de riego y accesorios
21101512,Aspersores / Microaspersores
21101513,Piezas para rastra aradora
21101514,Arados de subsuelo
21101516,Plantadores
21101601,Plantadoras
21101603,Sembradoras y separadoras de granos
21101604,Sembradoras de semillas
21101701,Segadores Agrícola
21101702,Segadoras
21101703,Cosechadoras
21101704,Cosechadoras trilladoras o mixtas
21101705,Trilladoras
21101706,Separadores de cultivos
21101707,Piezas de cosechadora o accesorios
21101708,Piezas de segadora o cortadora
21101802,Pulverizadores
21101901,Ordeñadoras
21101902,Equipo para cria de ganado
21101903,Equipos para cria de aves de corral
21101905,Equipo para identificacion de ganado
21101906,Equipo de inspeccion o recogida de huevos
21101908,Tanques refrigeradores de leche
21101909,Equipo para el esquileo o tijeretada de animales
21102002,Maquinas seleccionadoras de Hortalizas
21102003,Clasificadoras agricolas (de semillas
21102004,Equipo para limpieza y descascarillado de arroz
21102006,Trituradoras de martillo
21102301,Equipo de riego 
21102401,Equipo para apicultura
22101502,Niveladoras
22101509,Retroexcavadoras y accesorios
22101516,Excavadoras para fosos
22101522,Topadoras y accesorios
22101525,Excavadoras de ruedas
22101526,Excavadoras de cadenas
22101602,Equipo de apisonamiento
22101605,Acabadoras de asfalto
22101609,Mezcladoras de material de pavimentacion
22101615,Trituradoras de pavimento y repuestos
22101618,Equipos de pavimentación varios
22101619,Maquinas niveladoras y accesorios
22101620,Maquinas de limpieza o acabado de juntas
22101701,Palas excavadoras
22101702,Cucharas de movimiento de tierra o sus piezas o accesorios
22101703,Cuchillas o dientes u otros filos cortantes para maquinas pesadas
22101705,Eslabones o zapatas o sus piezas
22101708,Escarificadores
22101709,Cucharones para máquinas pesadas y accesorios
22101711,Herramientas de trituracion de pavimento o accesorios
22101714,Kits de reparacion o piezas de apisonadora
22101801,Elevadores
22101804,Elevador telescopico
22102001,Equipamiento de demolicion
23101501,Copiadoras
23101502,Perforadoras
23101505,Taladradoras
23101506,Trituradoras
23101507,Moldeadoras
23101508,Cortadoras
23101509,Lijadoras
23101510,Pulidoras
23101514,Cepilladoras
23101519,Maquinas robotes
23101521,Maquina de descarga de electrodo de catodo de alambre
23121505,Maquinas para ligar los puntos
23121602,Maquinas cosedoras de botones
23121603,Maquinas de hacer ojales
23121604,Maquinas cortadoras de telas
23121608,Maquinas plegadoras de telas
23121612,Accesorios para maquina de coser
23121614,Maquinas de coser
23121615,Mesas y/o accesorios para cortar telas
23131503,Ruedas de esmerilado
23131504,Compuestos para pulido
23131507,Tela para lijar
23131509,Tambores o pulidoras
23141701,Maquinas cortadoras de cuero
23151503,Prensa o molinos de extrusion y accesorios
23151506,Prensas y planchas de caucho o plastico
23151601,Sopladores o secadores
23151602,Trituradoras
23151603,Maquina / Equipo / Suministros para industria del cemento
23151604,Amoladuras o pulidoras
23151606,Maquinas moldeadoras de cemento o ceramica o vidrio o similar
23151607,Prensas
23151608,Tamices
23151803,Maquinas encapsuladoras
23151804,Reactores
23151806,Filtros y suministros de la industria farmaceutica
23151808,Granuladores
23151811,Maquinas para hacer ensayos de tabletas o capsulas y accesorios
23151813,Maquinas de hacer tabletas
23151820,Manometro
23151904,Bobinadoras
23152102,Cribas o piezas o Equipo estacionarios de separacion industrial
23152104,Equipo o piezas y pantallas de separacion centrifuga
23152203,Bancos de pruebas de componentes o motores
23152902,Maquinaria de Formar o Rellenar o Sellar
23152903,Vacio de empaquetamiento
23153002,Utensilio / Accesorio de guia
23153018,Utensilio/Accesorio de posicionamiento
23153025,Pinza mecanica
23153031,Utensilios de medicion
23153101,Componentes y/o accesorios de molienda industrial
23153130,Soportes o aisladores de vibracion de maquina
23153134,Rodillos de avance o de arrastre
23153140,Brazos articulados
23153302,Fresadora para escariador
23153307,Herramientas de tallar
23153309,Insertos graduables para herramientas de corte
23153312,Herramientas de avellanado o escariado
23153313,Cuchillas o conjuntos de cuchillas de maquinaria
23153503,Hornos de sistemas de pintura
23161503,Hornos
23161506,Crisoles de fundicion
23171507,Soldadores o pistolas para sueldas y accesorios
23171508,Maquinas de soldar
23171509,Soldadura
23171510,Alambre para soldar o estano
23171511,Herramientas de soldadura
23171512,Varillas soldadoras
23171515,Electrodos para soldar
23171517,Sopletes
23171519,Maquinaria de soldadura de tungsteno a gas inerte (TIG)
23171522,Fundentes para soldar
23171526,Aditivos desoldantes
23171529,La soldadura o el kit
23171535,Puntas de corte o soldadura
23171536,Portaelectrodos
23171537,Limas limpiadoras de punta de soldadura o soldadura fuerte
23171541,Aparato de corte o de soldadura fuerte o de soldadura por llama de gas
23171602,Cortadores de barras o varillas
23171603,Cortadores de canerias o tubos
23171604,Cortadores de alambres o cables
23171606,Tornos
23171610,Escariadores
23171612,Cortadores rotatorios de metales
23171620,Mandriles
23171622,Prensas de taller
23171703,Maquinaria de moldeado de tubos
23171902,Dispositivos de inspeccion o medicion
23171906,Herramientas de Montaje o Desmontaje
23172008,Filos de sierra circular para cortar metal
23172011,Insertos de acero
23181504,Maquinaria de tamizado
23181506,Maquinaria de lavado
23181703,Maquinaria para cocinar
23181801,Equipo y suministros para elaboracion de cafe
23181803,Maquinas para hacer hielo
23211101,Maquinaria de procesamiento y fabricacion electronica 
23221101,Equipo y maquinaria de matanza y desplumamiento de aves
23231102,Sierras de Cinta
23231201,Sierras Circulares
23231501,Barras portasierra
23231899,Cortadoras de madera y accesorios
23231999,Cepilladoras y accesorios
23232001,Escopleadoras
23232201,Acopladoras
24101503,Carretas
24101505,Carretilla hidraulica
24101506,Carretillas de mano
24101507,Carritos
24101601,Ascensores y accesorios
24101602,Montacargas y accesorios
24101604,Elevadores
24101605,Equipo de carga
24101606,Apiladoras
24101608,Guinches
24101610,Manipuladores
24101611,Eslingas
24101612,Gatos
24101617,Tijeras elevadoras
24101620,Gruas sobre camion
24101622,Gruas sobre cadenas y accesorios
24101624,Gruas hidraulicas sobre camion
24101626,Escaleras mecanicas o pasillos mecanicos
24101628,Horcas ajustables
24101629,Accesorios o suministros de elevador de horquilla o transportador vertical
24101704,Alimentadores para transportadores y accesorios
24101709,Transportadores varios
24101712,Cintas transportadoras y accesorios
24101714,Transportadores de Aire
24101715,Cinta transportadora
24101716,Poleas de transportador
24101718,Grapas de la correa del transportador
24101721,Cubierta del carro
24101722,Cadenas transportadoras
24101725,Rastras o articulaciones de transportador
24101904,Soportes para bidones
24102201,Herramientas para manejo de elementos/insumos peligrosos
24102203,Equipo o herramientas de sellado de sacos y bolsas
24102299,Herramientas Industriales Varias
24109999,Maquinaria / Equipo para clasificacion de materiales
24111501,Bolsas de tela
24111502,Bolsas de papel
24111503,Bolsas de plastico
24111509,Bolsas para agua
24111802,Tanques o botellas de aire o gas
24111803,Tanques de almacenamiento
24111808,Tanques de almacenaje de combustible
24111810,Tanques de almacenamiento de agua
24112004,Tolvas metalicas
24112108,Tambores metalicos
24112109,Tambores no metalicos
24112207,Bidones no metalicos para liquido inflamable
24112401,Cofres
24112404,Caja
24112405,Armarios
24112502,Cajas de transporte
24112503,Cartones varios
24112505,Paletas o Pallets
24112601,Cantaros
24112602,Tarros
24121503,Cajas para empaquetado
24121807,Botes de plastico
24122002,Botellas de plastico
24122003,Botellas de cristal
24122004,Cabezales y tapas
24131501,Refrigerador y congelador combinado y accesorios
24131503,Camaras frigorificas y accesorios
24131607,Serpentin congeladores de chorro de aire
24131901,Productoras de cubitos de hielo
24141502,Laminas de embalaje
24141511,Amarres de carga
24141513,Envases Varios
24141603,Acolchado
24141705,Tubos plegables
25101501,Minibuses
25101502,Autobuses
25101503,Automoviles
25101504,Camiones
25101505,Mini-furgonetas o furgonetas
25101507,Camionetas 
25101601,Camiones volquete
25101602,Camiones de remolque
25101609,Camiones de manipulacion de cieno
25101610,Camiones cisterna
25101611,Camiones de transporte
25101701,Camiones de bomberos y de salvamento
25101702,Vehiculos de policia
25101703,Ambulancias
25101801,Motocicletas y accesorios
25101802,Escuters o motos y accesorios
25101901,Tractores agricolas y accesorios
25101902,Casas motorizadas
25101905,Todoterrenos de via o de rueda
25101908,Vehiculos Quad
25111506,Remolcadores
25111507,Lanchas
25111511,Barco de marineria de gas o petroleo
25111601,Botes y balsas salvavidas
25111922,Cabos de amarre
25131507,Avion de helices privado o de negocios
25131703,Avion de caza y accesorios
25131707,Aeronave de reconocimiento o vigilancia y accesorios
25131709,Avion de transporte militar
25131899,Drones
25131903,Helicopteros de ataque
25131904,Helicopteros de reconocimiento y accesorios
25131905,Helicopteros varios y accesorios
25161505,Bicicletas de montana
25171502,Limpiaparabrisas para vehiculos
25171507,Cuchillas limpiadoras
25171705,Rotores
25171706,Calibrador de frenaje
25171707,Tambor de embrague y accesorios varios
25171708,Disco de freno
25171709,Bomba de freno
25171710,Cilindros de frenos
25171712,Fibras
25171714,Tambor de freno
25171715,Rotores de discos de freno
25171716,Lineas o accesorios de freno
25171718,Kits de reparacion de frenos
25171901,Llantas y ruedas para vehiculos
25171902,Accesorios componentes de rueda o rodamiento
25171905,Valvulas de neumaticos
25172001,Sistemas de suspension para automoviles
25172002,Sistemas de suspension y accesorios para camiones
25172003,Amortiguadores para camiones y maquinas pesadas
25172004,Amortiguadores para vehiculos
25172009,Buje de automotor
25172010,Barras contraladeos
25172110,Bocina de vehiculo
25172111,Sistema de seguridad y alarma
25172203,Puertas para automocion y accesorios
25172301,Parabrisas para vehiculos
25172303,Ventanas para automocion
25172404,Sistemas de almacenaje de combustible hibrido
25172405,Sistemas de inyeccion de combustible y accesorios
25172406,Depositos de gasolina 
25172408,Tapas de aceite o combustible
25172502,Camaras de neumaticos para automoviles y motos
25172503,Neumaticos para camiones o maquinarias pesadas
25172504,Neumaticos para vehiculos
25172505,Neumaticos Varios
25172506,Neumaticos de motos y bicicletas
25172603,Paragolpes de vehiculo y accesorios
25172604,Espejos de vehiculo
25172606,Capotas de vehiculo y accesorios
25172699,Equipamiento exterior para vehiculos
25172704,Sistema control temperatura vehiculo
25172906,Reflectores y accesorios
25172907,Faro o lampara de vehiculos y accesorios
25173003,Iluminacion interior para automotores
25173108,Sistemas de navegacion del vehiculo
25173702,Silenciadores de escape o resonadores
25173703,Distribuidores de escape
25173801,Ejes de mando
25173805,Diferenciales y accesorios
25173810,Juntas
25173812,Transmisiones manuales y accesorios
25173815,Cables de embrague
25173816,Embrague y componentes hidraulicos de embrague
25173817,Cadenas de los engranajes conductores
25173901,Sistema de encendido
25174001,Ventilador y accesorios
25174002,Radiadores de motor y accesorios
25174003,Tapas de radiador
25174004,Accesorios de refrigeracion motor
25174202,Suspension de direccion
25174203,Junta de bola
25174204,Sistema de direccion y accesorios
25174205,Bielas
25174207,Varillaje de direccion
25174209,Pinones
25174211,Volantes
25174212,Conjuntos de la columna de direccion
25174402,Consolas o Tableros
25174407,Pedales
25174410,Componentes y sistemas de sonido del vehiculo
25174601,Fundas de asientos
25174602,Cojines de asientos o cojines alargados
25174701,Repuestos de bicicleta
25181602,Chasis para camiones
25181701,Contenedores
25181702,Remolques de plataforma
25181703,Remolques para ganado
25181704,Carrocerias
25181705,Remolques cisterna
25181706,Remolques contenedor con temperatura controlada
25181707,Transporte para vehiculos
25181708,Enganches de remolque
25181709,Pala cargadora y accesorios
25181711,Remolque para productos y materiales
25191509,Tractores remolcadores para aviones
25191512,Escalerillas transportables o rodantes
25191514,Barra de remolque de avion
25191701,Equipo de contrapesar la rueda
25191702,Equipo para alinear la rueda
25191703,Maquinas para cambiar neumaticos
25201602,Aerofaros de navegacion de avion
25201604,Sistemas de guiar al avion
25201709,Sondas o sensores de avion
25201904,Paracaidas
25202003,Unidades de la fuente de alimentacion de avion
25202203,Ruedas de avion
25202205,Neumaticos de avion
25202401,Tanques interiores de combustible de aeronaves y helicopteros
25202405,Sistemas de manejo de combustible del avion
25202508,Parabrisas de avion
26101504,Motores diesel
26101509,Motores hidroelectricos
26101510,Maquinas rotativas
26101512,Motores turbohelice y accesorios
26101602,Motores de corriente alterna (CA) y accesorios
26101603,Motores de corriente continua (CC)
26101612,Motores multifasicos
26101615,Alternadores y accesorios
26101616,Motor neumatico
26101710,Carburadores y accesorios
26101711,Bielas
26101713,Tapa o fondo de cilindro
26101715,Tapas o tachos de motor
26101720,Turbocargador
26101727,Aros y pistones
26101728,Tubos de motor
26101730,Ejes de brazo oscilante y accesorios
26101732,Bujias
26101734,Diafragmas de Carburador
26101736,Embolos
26101740,Inyectores de combustible
26101742,Distribuidores de inyeccion de combustible
26101743,Valvulas de motor y accesorios
26101749,Cigüenal y accesorios
26101750,Valvula de estrangulacion
26101755,Guia de valvula
26101757,Accesorios de las bujias
26101759,Accesorios o Adaptadores del motor de arranque
26101764,Revestimiento de los cilindros
26101803,Rotores o estatores
26101805,Kits de reparacion del motor
26101807,Bobinas de motor
26101808,Monturas o soportes de motor
26101809,Freno de motor
26111501,Conmutadores y accesorios
26111510,arboles de transmision
26111512,Ejes
26111515,Servo controlador
26111524,Unidades de engranajes
26111530,Leva de transmision
26111534,Herrajes y accesorios
26111601,Generadores diesel
26111603,Aerogeneradores
26111607,Generadores solares
26111701,Baterias recargables
26111702,Pilas alcalinas
26111703,Baterias para transportes - Accesorios
26111704,Cargadores de baterias
26111705,Pilas secas
26111706,Pilas electronicas
26111707,Baterias de plomo-acido
26111709,Baterias de niquel-cadmio
26111711,Baterias de litio
26111712,Baterias de niquel-hidrogeno
26111722,Adaptador de bateria o accesorios
26111723,Puertas
26111801,Correas y accesorios
26111804,Correas planas
26111805,Tensores de correa
26111806,Poleas de transmision
26111807,Polea de distribucion
26111905,Embrague de rueda libre
26112004,Kits de reparacion del embrague
26121515,Cable de silicio-amianto (SA)
26121521,Alambre de bronce
26121523,Alambre preformado 
26121540,Cable galvanizado
26121541,Conductores electricos
26121606,Cable coaxial
26121607,Cable de fibra optica y accesorios
26121609,Cable de redes y accesorios
26121616,Cable de telecomunicaciones 
26121623,Cable de radiofrecuencia (RF)
26121628,Cables blindados
26121629,Cable de alimentacion
26121630,Accesorios de cable
26121633,Cables electricos de audio
26121635,Cables electricos
26121636,Cables para impresoras
26121701,Cable preformado
26131503,Centrales hidroelectricas
26131508,Centrales termoelectricas
26131510,Central termica
26131603,Rejillas de agua
26131604,Filtros fijos
26131606,Chimenea de acero
26131612,Conductos de salida de escape
26131701,Detectores de gases inflamables o peligrosos para generadores
26131803,Paneles de proteccion o control de generadores
26131808,Conmutadores de control de carga de subestacion
26131813,Conmutadores de desconexion de estaciones de maniobra
26141601,Combustible para conjunto subcritico
26141702,Dosimetros
26142201,Tubos con revestimiento de acero inoxidable para combustible nuclear
27111504,Cuchillos de bolsillo
27111505,Botadores
27111506,Cizallas
27111507,Cortadores de metal
27111508,Sierras o serruchos
27111509,Mechas o Barrenas
27111511,Tenazas para alambre
27111513,Cortador para manguera
27111514,Cortadora de vidrio y ceramica
27111515,Taladro de mano o empuje y accesorios
27111521,Recortadoras de chapa
27111602,Martillos
27111603,Yunques
27111604,Hachas de mano
27111605,Picos
27111701,Destornilladores
27111702,Llaves y pinzas para tuercas
27111706,Llave de tuercas de boca abierta
27111707,Llaves ajustables
27111708,Llaves para tubos
27111710,Llaves Allen
27111712,Extractores
27111713,Llaves para tuercas y canos
27111716,Llave Torx
27111720,Llave manual en T para tomas
27111723,Llaves de tubo
27111801,Cintas metricas y bocetaje
27111803,Escuadras y niveles
27111901,Cortafrios
27111902,Limas
27111903,Cepillos de carpintero y accesorios
27111905,Esmeriladoras
27111906,Cinceles de madera
27111907,Cepillos de alambre
27111908,Piedras o herramientas o equipos de afilar o pulir
27111909,Espatulas
27111910,Buriles o escoplos
27111911,Formones
27112001,Machetes o foices
27112002,Azadones
27112003,Rastrillos
27112004,Palas y accesorios
27112005,Hachas y accesorios
27112006,Guadanas / Hoz
27112007,Tijeras de podar
27112008,Azadas y accesorios
27112010,Horquilla de jardin
27112011,Mangueras y accesorios
27112014,Segadoras de cesped y bordeadoras
27112101,Dobladores de tubos
27112102,Tornillos de banco
27112103,Abrazaderas
27112104,Tenazas
27112105,Tenacillas
27112115,Pinzas cerrador
27112116,Pinzas de cerco
27112117,Pinzas con corte adelante
27112120,Grapas para caneria
27112122,Alicates de chapa metalica
27112126,Alicates o pinzas
27112128,Alicates de punta curvada
27112201,Baldes
27112202,Llanas y otras herramientas para albañileria
27112205,Vibradores de hormigon
27112301,Hierro de marcar
27112303,Punzon de trazar
27112401,Pistolas de grapas
27112402,Remachadora
27112406,Pistolas de etiquetado
27112502,Palancas
27112701,Herramientas varias
27112704,Amoladoras
27112705,Juego de dados
27112709,Sierras mecanicas
27112715,Martillos mecanicos
27112716,Pistolas de clavos mecanicas
27112718,Grabadores
27112719,Pistola de encolar
27112801,Brocas
27112802,Hojas de sierra
27112806,Machos de roscar
27112808,Anillos metalicos
27112822,Adaptadores de cubo
27112826,Sierra de calar
27112901,Pistolas de grasa
27112908,Pistola de aceite
27113002,Cepillos de tubo
27113004,Cepillos de extensor
27113201,Herramientas varias
27113203,Herramienta para computadores y comunicaciones
27113204,Kits de electricista
27121501,Potenciadores de Energia
27121502,Prensas
27121602,Cilindros hidraulicos
27121604,Kits de reparacion de cilindro hidraulico o sus componentes
27126199,Bobinadoras
27131501,Llaves de impacto neumatico
27131504,Martillo de neumaticos y accesorios
27131505,Taladro neumatico
27131701,Cilindros neumaticos
27131707,Kits de reparacion de cilindro neumatico o sus componentes
27131709,Anillos amortiguadores de cilindro neumatico
30101503,Angulos de hierro
30101504,angulos de acero
30101515,angulos de plastico
30101603,Barras de hierro
