Código,Descripción
10171604-011,Adherente foliar
10171604-012,Aceite mineral
10171604-013,Abono radicular enraizador
10171604-014,Crotalaria
10171604-015,Avena negra
10171604-016,Lupino Blanco
10171604-017,Nabo forrajero
10171604-018,Acido giberelico
10171605-001,Fertilizantes granulado NPK
10171605-002,Fertilizante granulado
10171701-001,Mancozeb + Metalaxil Methyl Polvo Mojable
10171701-002,Basagran Liquido
10171701-003,Carfentrazone Liquido
10171701-004,Glifosato liquido
10171701-005,D amina
10171701-006,Metsulfuron
10171701-007,Ametrina + triasina
10171701-008,Arloxifenoxi
10171701-009,Atrazina + Simazina
10171701-010,Bentazon
10171701-011,Bispiribac sodio
10171701-012,Fluometorum liquido
10171701-013,Haloxifop-R-Metil Ester liquido
10171701-014,Imazetapyr liquido
10171701-015,Lactofen liquido
10171701-016,Metolacror liquido
10171701-017,Pirimicarb polvo mojable
10171701-018,Clodinafop Liquido
10171701-019,Quinclorac polvo mojable
10171701-020,Trifuralina E.C. liquido
10171701-021,Clomazone Liquido
10171701-022,Diclosulan
10171701-023,Diuron Liquido
10171701-024,Fenoxaprop-p-etil Liquido
10171701-025,Gramoxone Liquido
10171701-026,Husar Liquido
10171701-027,Propaquizafop Liquido
10171701-028,Ametrina+Simazina Liquido
10171701-029,Sulfentrazone Liquido
10171701-030,Ariloxiacido Polvo
10171701-031,Oxifluorfen Liquido
10171701-997,Atrazina Polvo
10171701-998,Cletodin Liquido
10171701-9984,Diuron + hexazinone Polvo
10171701-9985,Imazapic Polvo
10171701-9986,Ametrina + Atrazin Liquido
10171701-9987,Pinoxaden + Clodinafop - propargil Liquido
10171701-9988,Pendimethalin Liquido
10171701-9989,Trifloxysulfuron - sodium Polvo
10171701-999,Clorimuron Etil Polvo
10171701-9990,Nicosulfuron Liquido
10171701-9991,Metribuzin Liquido
10171701-9992,2
10171701-9993,Picloran Liquido
10171701-9994,Thidiazuron Liquido
10171701-9995,Pirazosulfuron-etil Polvo Mojable
10171701-9996,Picloram + Triclopyr Liquido
10171701-9997,Picloram + 2
10171701-9998,Paraquat Liquido
10171701-9999,Aclonifen Liquido
10171702-001,Clorotalonil
10171702-002,Lufenuron
10171702-003,Mancozeb polvo
10171702-004,Oxicloruro de cobre polvo
10171702-005,Tuboconazole
10171702-006,Agrimicina en polvo
10171702-007,Carbendacim
10171702-008,Azufre micronizado
10171702-009,Benomil
10171702-010,Cartap Polvo
10171702-011,Carboxin + thiram
10171702-012,Azoxtrobin + Ciproconazole liquido
10171702-013,Acido Indol-Butirico polvo
10171702-014,Eter Nonil Fenol Polietoxilado liquido
10171702-015,Cloruro De Kasugamicina liquido
10171702-016,Folpet Polvo Mojable
10171702-017,Fomesafen liquido
10171702-018,Hidroxido de Cobre polvo mojable
10171702-019,Propiconazole liquido
10171702-020,Thiram + Carbendazim liquido
10171702-021,Tolclofos Metil polvo mojable
10171702-022,Clorotalonil polvo mojable
10171702-023,Methyl - Tiofanato polvo                                   
10171702-024,Etileno Bisditiocarbonato De Manganeso polvo
10171702-025,Tebuconazole Polvo Mojable
10171702-026,Pyraclostrobin + Epoxiconazole Liquido
10171702-027,Tricarbamix 
10171702-028,Trifloxystrobin + cyproconazole Liquido
10171702-029,Azoxistrobin+cyproconazole Liquido
10171702-030,Dazomet Liquido
10171702-031,Derosal Liquido
10171702-032,Epoxiconazole
10171702-033,Captan Polvo
10171702-034,Dicofenazole Liquido
10171702-035,Metil Tiofanato +Tiran Polvo
10171702-036,Trichoderma Biologica
10171702-997,Estrobilurina + Tebuconazole Liquido
10171702-998,Tryfloxistrabin + Tebuconazole Liquido
10171702-999,Methyl Tiofanato Liquido
10171702-9994,Kasumicina
10171702-9995,Pyraclostrobin + Trifluxistrabin Liquido
10171702-9996,Proclhoraz Liquido
10171702-9997,Acido 2-Cloroetil Fosfonico Liquido
10171702-9998,Fludioxonil + Metalaxil Liquido
10171702-9999,Benzimidazol Polvo
10191506-001,Raticidas
10191507-9999,Repelentes electrico para pajaros
10191508-001,Veneno para termitas
10191509-001,Metionil Tableta
10191509-002,Insecticida en aerosol
10191509-003,Espiral mata mosquito
10191509-004,Hormiguicida en polvo
10191509-005,Hormiguicida granulado
10191509-006,Cipermetrina  mezcla de isomeros Sustancia Patron
10191509-007,Clorfos
10191509-008,Cyflutrim
10191509-009,Thiametoxan+Lamdacyalotrina
10191509-010,Setoxidim Sustancia Estandar
10191509-011,Clorpirifos Estandar
10191509-012,Metamidofos Sustancia Patron
10191509-013,Atrazina Sustancia Patron
10191509-014,Tebuconazole Sustancia Estandar
10191509-015,Cletodin Sustancia Estandar
10191509-016,Bifentrin Std. Primario
10191509-017,Curabichera en aerosol
10191509-018,Curabichera en pasta
10191509-019,Cipermetrina
10191509-020,Permetrina Solución 
10191509-021,Deltametrina 
10191509-022,Temefos 
10191509-023,Cialotrina polvo
10191509-024,Atrazine  + simazina
10191509-025,Monocrotofos
10191509-026,Imildacropid
10191509-027,Permitrina Jabón 
10191509-028,Clorpirifos
10191509-029,Avamectin
10191509-030,Carbaril
10191509-031,Endosulfan
10191509-033,Acarin
10191509-034,Etileno bisditiocarbamato de manganeso
10191509-035,Alguicida liquido
10191509-036,Alfametrina
10191509-037,Piretroide Liquido 
10191509-038,Insecticida liquido
10191509-039,Cucarachicida -gel
10191509-040,Cupinicida
10191509-041,Insecticida en polvo
10191509-042,Curabichera en liquido
10191509-043,Sebo para cucaracha
10191509-044,Insecticida para cucaracha en aerosol
10191509-045,Fipronil - SC
10191509-046,Abamectina liquido
10191509-047,Acetamiprid
10191509-048,Bacillus thuringiensis
10191509-049,Beta ciflutrin
10191509-050,Fipronil liquido
10191509-051,
10191509-052,Hormiguicida liquido
10191509-053,Hormiguicida en cebo
10191509-054,Cipermetrina spray
10191509-055,Dicofol+Tetradifon E.C. liquido
10191509-056,Diflubenzuron Polvo Mojable
10191509-057,Fosfuro de Aluminio tableta
10191509-058,Spinosad liquido
10191509-059,Streptomicina + Oxitetraciclina +Cobre Polvo Mojable
10191509-060,Tiametoxam polvo
10191509-061,Tiodicarb liquido
10191509-062,Diflubenzuron Liquido
10191509-063,Imidacloprid Granulado 
10191509-064,Fipronil Granulado
10191509-065,Propargite liquido
10191509-066,Sulfato De Streptomicina Polvo Mojable
10191509-067,Mancozeb + Carbaril + Benomil + Fenitrothion polvo
10191509-068,Novaluron liquido
10191509-069,Endosulfan + Metomil Liquido
10191509-070,Profenofos + Cipermetrina Liquido
10191509-072,DDT Sustancia Patron
10191509-073,a-BHC Sustancia Estandar 
10191509-074,Lindano Sustancia Patron
10191509-075,Endrin Sustancia Patron
10191509-076,Clordano Sustancia Patron
10191509-078,Dieldrin Sustancia patron
10191509-080,Toxaphen Sustancia Estandar 
10191509-081,Phosphina Comprimido
10191509-082,Fenitrotion+Fenvalerato Polvo
10191509-083,Repelente p/ Mosquito - Aerosol
10191509-084,Repelente p/  Mosquito - Tableta
10191509-085,Deltamatrina + Endosulfan
10191509-086,Deltametrina + Fenitrotion Liquido
10191509-087,Deltametrina + Butoxido de Piperonilo Polvo
10191509-998,Imidacloprid + Alfacipermetrina Liquido
10191509-999,Carbaril + Malation Polvo Mojable
10191509-9991,Dimetoato
10191509-9992,Profenofos + Lufenuron Liquido
10191509-9993,Hexitiazos Liquido
10191509-9994,Metoxifenocide Liquido
10191509-9995,Imidacloprid + Tebuconazole Liquido
10191509-9996,Imidacloprid + Betaciflutrina Liquido
10191509-9997,Flubendiamida Liquido
10191509-9998,Clorpirifos + Cipermetrina Liquido
10191509-9999,Alfa Cipermetrina Liquido
10191703-001,Aparato electrico mata mosquitos
10191703-9999,Repelente Ultrasonico
10191704-001,Placa adhesiva biotrap
11101505-001,Azufre unguento 
11101506-001,Yeso Piedra 
11101506-002,Yeso Talller 
11101506-003,Yeso Paris
11101506-999,Yeso Extra duro
11101506-9999,Yeso Acrilico
11101507-001,Grafito
11101510-001,Asbesto comprimido sin malla
11101510-002,Asbesto comprimido con malla
11101510-003,Plancha de amianto
11101510-004,Cordon de amianto
11101510-005,Amianto en polvo
11101510-006,Malla de Amianto
11101512-001,Borato de sodio
11101518-001,Talco de venecia
11101522-001,Carbon activado
11101601-001,Mineral de hierro
11101707-001,Magnesio color AA
11101707-002,Magnesio comprimido
11101713-001,Hierro Tee
11101714-001,Plomito
11101716-001,Estaño granulado
11111501-001,Arena lavada
11111501-002,Arena gorda
11111501-003,Piedra bruta 
11111501-004,Piedra triturada
11111501-005,Pedregullo o ripio
11111501-006,Arena fina
11111501-007,Escombro
11111501-008,Piedra loza
11111501-999,Piedra para señalización
11111501-9998,Canto Rodado
11111501-9999,Grava
11111601-001,Yeso
11111604-001,Mesada de granito
11111604-002,Separador de granito
11111605-001,Mesada de marmol
11111608-001,Piedra antracita
11111610-001,Piedra pomez
11111803-001,Puzolana
11111804-001,Arcilla bentonita
11121608-001,Bambu
11121702-001,Leña
11121702-002,Raja
11121705-001,Bagazo
11121705-9999,Corteza de Pino
11121802-001,Algodon
11131504-001,Cuero para tapizado
11131504-002,Cuero Empacada
11131504-003,Cuero Engrasado
11131504-004,Cuero laminado
11131602-001,Pajuela para  Semen
11131602-002,Diluyente para Semen
11131602-999,Semen Congelado
11131607-001,Huevo embrionado de ave
11131607-9999,Embriones Caprinos
11151512-9999,Fibra de vidrio
11151608-001,Hilo de Nylon
11151608-002,Mononylon
11151701-001,Hilo de lana
11151702-001,Hilo de ferreteria gruesa
11151702-002,Hilo de ferreteria fina
11151702-003,Hilo de algodon grueso
11151702-004,Hilo de algodon fino
11151702-005,Hilo de algodon encerado
11151703-001,Hilo de poliester
11151705-001,Hilo de seda
11151709-001,Tela sintetico
11151710-001,Tejido de gabardina
11151710-002,Tejido de lienzo
11151710-003,Tejido de algodon
11151710-004,Tejido de algodon tipo toalla
11151710-005,Tejido sarga
11151710-006,Tela corderito
11151710-007,Tela Amianto
11151713-001,Tejido de canamo
11151713-002,Tejido de yute
11151715-001,Tela de lino
11151715-002,Tela de popelino
11161501-001,Tela tafetan
11161503-001,Tela o Tejido de Seda
11161701-001,Tejido de algodon
11161804-001,Tejido poplin
11162003-001,Tela de arpillera
11162108-001,Malla media sombra
11162108-002,Malla para proteccion
11162109-001,Encaje de broderi
11162109-002,Encaje de tela
11162111-001,Malla antiafida
11162121-001,Telas de Brin
11162121-002,Telas de Gabardina
11162121-003,Telas para Sabanas
11162121-004,Telas para Toalla
11162121-005,Tela de sarga
11162121-006,Tela pique algodon
11162121-007,Tela de poliester
11162121-008,Tela crepp de lana
11162121-009,Tela violen
11162121-010,Tela poplin
11162121-011,Tela tapiz
11162121-012,Tela de algodon
11162121-013,Tela polar
11162121-014,Tela no tejida o TNT
11162121-998,Tela Rustica
11162121-999,Tela de Ao Poi
11162121-9998,Entretela
11162121-9999,Telas gasa de algodón
11162127-001,Tela Camuflada
11162130-001,dosel
11162307-001,Cuerina de colores
11162307-002,Cuerina para encuadernacion
11191599-9999,Escoria granulada de metal
12131501-001,Dinamita
12131502-001,Cartucho explosivo
12131503-001,Explosivo propulsor
12131504-001,Cargas explosivas
12131505-001,Explosivo plastico
12131505-999,Gel Explosivo
12131506-001,Explosivo aluminado
12131507-001,Explosivos de nitrato de amonio
12131508-001,Reforzador
12131601-001,Bomba de estruendo
12131604-001,Bengala
12131605-001,Material pirotecnico para teatro y television
12131702-001,Detonador
12131703-001,Explosivos propulsores
12131704-001,Iniciador de explosivo
12131706-001,Fosforo 
12131707-001,Chispero para encendido
12131708-001,Caja de fulminante
12131801-001,Polvora
12141502-001,Magnesio 
12141721-001,Solucion Patron para determinacion de Fe
12141726-001,Mercurio  Líquido
12141734-001,Anillo platino iridio (juego anillo de platino iridio) 
12141750-001,Cinc en polvo 
12141804-001,Potasio oxalato
12141804-002,Potasio monobasico
12141804-003,Patron de potasio 
12141806-002,Sodio Alizarin Monosulfato
12141806-003,Sodio Bicarbonato
12141806-004,Sodio Boratado
12141901-001,Cloro en pan
12141901-002,Cloramina T 
12141901-003,Cloro diluido
12141901-004,Cloro licuado
12141902-001,Hidrógeno ultra puro 
12141903-001,Nitrogeno amoniacal 
12141903-002,Nitrógeno comercial
12141903-003,Nitrogeno liquido
12141903-005,Nitrogeno gaseoso
12141903-006,Nitrogeno super seco
12141903-9999,Nitrogeno Analitico
12141904-001,Oxigeno disuelto
12141904-002,Oxigeno liquido 
12141904-003,Oxigeno Gaseoso 
12141907-001,Kit para determinacion de boro 
12141908-001,Gas Octafluoropropano C3F8
12141911-001,Patron de silicio 
12141912-001,Gas hexafluoruro de azufre SF6
12141912-002,Azufre Polvo
12141912-003,Azufre Precipitado
12141915-001,Bromo Cloro Trifluor Etano 
12141915-003,Bromo
12141916-001,Yodo metalico p.a.
12141916-003,Yodo sublimado
12141916-004,Yodo metalico
12141916-005,Yodo Resublimado
12141916-006,Yodo Fosforado
12141916-007,Yodo Resublimado p.a.
12142004-001,Gas aire acétileno 
12142004-002,Gas nitro-acétileno p/EAA
12142004-003,Gas nitrógeno
12142004-004,"Gas nitrógeno ""U"" grado analítico p/GC "
12142004-005,Gas aire sintético  grado analítico p/GC 
12142004-006,Oxido nitroso
12142004-007,Gas Freon
12142004-008,Gas Oxido Nitrico
12142004-009,Gas Argon-Metano
12142004-010,"Gas Argon ""U"""
12142004-998,Gas Carbogeno
12142004-999,Gas Refrigerante
12142004-9997,Gas Dioxido de Carbono
12142004-9998,Gas Aire Sintetico
12142004-9999,Gas Argon Analitico
12142005-001,Helio ultra puro 
12142005-002,"Gas helio ""U""  grado analítico p/GC"
12142005-003,Resina de Helio
12142005-004,Helio gaseoso
12142101-001,Gas hidrogeno U  grado analítico p/GC
12142102-9998,Gas Metano + Gas Etano + Asociado 
12142102-9999,Mezcla de Gases 
12142103-001,Amoniaco
12142104-001,Anhídrido carbónico
12142104-002,Gas carbonico
12161601-001,Catalizador
12161704-001,Buffer para calibrar pHmetro
12161801-001,Gel para Encefalografia
12161801-002,Gel de contacto para ultrasonido
12161801-003,Gel para electrocardiografo
12161801-004,Gel para Ecografia
12161801-005,Gel terapeutico
12161801-006,Gel Congelante
12161802-001,Sulfato de bario
12161804-001,Goma arabiga
12161901-001,Dispersante espuma en dornas
12161901-002,Antiespumante 
12161902-001,Lauril Sulfato de Sodio
12161904-001,Dispersante solubilizante anticorrosivo
12162201-001,Acido ascorbico en polvo
12162204-001,Aditivo Antioxidante BHT
12163201-001,Aditivo para Equipo Medico
12163201-9999,Aditivo plastificante
12164001-001,Virginiamicina Industrial
12164001-998,Monensina
12164001-999,Enzima Sodica industrial
12164201-001,Retardador
12164501-001,Antimoho 
12164502-001,Esencia 
12164502-002,Agua de azahar
12164503-9999,Aditivo para Alimento Veterinario
12164504-001,Sacarina sodica
12164504-002,Ciclamato de sodio
12171503-002,Anilina
12171504-001,Colorante para comida
12171504-002,Colorante para Farmaco
12171604-001,Dioxido de Titanio
12171703-001,Tinta para recarga impresora negro
12171703-002,Tinta indeleble
12171703-003,Tinta para recarga impresora color
12171703-9999,Tinta para carcasa
12181502-001,Cera Blanca GF
12181502-999,Ceras para injertos
12181503-001,Parafina
12181601-001,Aceite sintetico
12181602-001,Aceite de lino
12181602-002,Aceite de soja 
12181602-003,Aceite de coco
12181602-004,Aceite de linaza
12181602-9999,Aceite de Ricino
12191501-001,Acetona pa
12191501-002,Hexano pa
12191501-003,Hexano comercial
12191501-005,Acetonitrilo grado HPLC
12191501-006,Bencina de petróleo
12191501-007,Acetona grado GC
12191501-009,Acetato de etilo  HPLC
12191501-010,Diclorometano GC
12191501-011,1
12191501-012,Eter de petróleo GC
12191501-013,Isooctano HPLC
12191501-015,Hexano HPLC
12191501-016,Acetato de etilo
12191501-017,Metanol grado HPLC
12191501-020,Bencidina
12191501-021,Metil Isobutil Cetona
12191501-023,Heptano GC
12191501-024,Heptadecanoato de Metilo GC
12191501-025,Acetona Grado HPLC
12191501-9999,IsoOctano GP
12191503-002,Solucion fenicada
12191601-002,Metanol grado HPLC - GC
12191601-003,Alcohol isopropílico
12191601-004,Alcohol amílico
12191601-007,Metanol anhidro
12191601-008,Alcohol 85%
12191601-009,Etanol absoluto
12191602-001,Tiner
12191602-002,Solvente industrial
12191602-003,Solvente seco para aeronave
12191602-9999,Disolvente para Tinta
12352005-001,Compuesto aromatico - Fragancia
12352005-002,Povidona
12352102-001,Alquitran de Hulla Polvo
12352102-9999,Trietanolamina MP
12352104-002,Alcohol de quemar
12352104-003,Alcohol rectificado pro analisis
12352104-004,Alcohol 80°
12352104-005,Alcohol  gel
12352104-006,Alcohol metilico
12352104-008,Alcohol absoluto pa
12352104-009,Alcohol metilico pa
12352104-010,Alcohol etilico 
12352104-011,Alcohol propilico - Propanol
12352104-012,Glicerina oficinal anhidrida
12352104-013,Alcohol Cetearilico+ Cetearet
12352104-014,Alcohol Isoamilico
12352104-015,Alcohol 90%
12352104-9992,Alcohol Desnaturalizado
12352104-9993,Alcohol Extrafino
12352104-9994,Alcohol Extrafino GC
12352104-9995,Alcohol Estearilico
12352104-9996,Alcohol Cetilico + Estearilico
12352104-9997,Alcohol Cetilico
12352104-9998,Mentol Creistal GF
12352104-9999,Alcohol Absoluto
12352106-001,Acido tricloracetico
12352106-002,Metil cis-15 tetracosenoato GC
12352106-995,Acido Salicilico GF
12352106-997,Propil Parabeno GF
12352106-998,MetilParabeno GF
12352106-999,Acido Dodecil Benceno Sulfonico
12352107-001,Citrato de hierro amoniacal polvo
12352107-002,D-pantotenato del calcio
12352107-003,Maleato de clorfeniramina 
12352107-004,Vitamina B1 / tiamina clorhidrato
12352107-005,Vitamina C- USP
12352107-006,Vitamina A - USP
12352107-007,Propanol - USP
